"Worldbirds Location","Worldbirds Location ID","Worldbirds Latitude","Worldbirds Longitude","Worldbirds Region/State","eBird Location","eBird Region Code","eBird Country Code","eBird Latitude","eBird Longitude"
"CB03_G",2163,32.8211,-17.1084,,,,"PT",,
"CB03_Q",2166,32.8038,-17.0653,,,,"PT",,
"CB03_V",2167,32.8041,-17.044,,,,"PT",,
"CB12_C",2267,32.7504,-17.0214,,,,"PT",,
"CB12_E",2269,32.7864,-17.0222,,,,"PT",,
"CB12_P",2279,32.7871,-16.9795,,,,"PT",,
"CB12_W",2286,32.7337,-16.9356,,,,"PT",,
"CB13_A",2168,32.8045,-17.0226,,,,"PT",,
"CB13_F",2290,32.8048,-17.0013,,,,"PT",,
"CB13_L",2293,32.8232,-16.9803,,,,"PT",,
"CB13_Q",2294,32.8055,-16.9586,,,,"PT",,
"CB13_R",2295,32.8235,-16.959,,,,"PT",,
"CB13_W",2297,32.8238,-16.9376,,,,"PT",,
"CB21_B",2298,32.6439,-16.9124,,,,"PT",,
"CB21_H",2303,32.6622,-16.8915,,,,"PT",,
"CB21_J",2305,32.6983,-16.8922,,,,"PT",,
"CB21_L",2306,32.6445,-16.8698,,,,"PT",,
"CB21_W",2314,32.6451,-16.8271,,,,"PT",,
"CB21_Y",2316,32.6812,-16.8279,,,,"PT",,
"CB22_U",2337,32.7891,-16.8514,,,,"PT",,
"CB23_A",2342,32.8061,-16.9159,,,,"PT",,
"CB23_B",2343,32.8242,-16.9162,,,,"PT",,
"CB23_F",2344,32.8065,-16.8945,,,,"PT",,
"CB23_G",2345,32.8245,-16.8949,,,,"PT",,
"CB23_K",2346,32.8068,-16.8732,,,,"PT",,
"CB31_C",2347,32.6635,-16.8062,,,,"PT",,
"CB31_D",2348,32.6815,-16.8065,,,,"PT",,
"CB31_E",2349,32.6995,-16.8069,,,,"PT",,
"CB31_J",2350,32.6998,-16.7856,,,,"PT",,
"CB31_P",2351,32.7001,-16.7643,,,,"PT",,
"CB32_A",2352,32.7176,-16.8073,,,,"PT",,
"CB32_G",2356,32.7359,-16.7863,,,,"PT",,
"CB32_K",2358,32.7182,-16.7646,,,,"PT",,
"CB32_R",2361,32.7365,-16.7436,,,,"PT",,
"CB42_B",2365,32.7371,-16.701,,,,"PT",,
"CB42_G",2367,32.7374,-16.6796,,,,"PT",,
"CB50_N",2371,32.5911,-16.545,,,,"PT",,
"CB50_Q",2372,32.5372,-16.5228,,,,"PT",,
"CB50_R",2373,32.5553,-16.5231,,,,"PT",,
"CB75_C",2378,33.0259,-16.3813,,,,"PT",,
"CB75_I",2381,33.0442,-16.3602,,,,"PT",,
"CB75_P",2384,33.0625,-16.339,,,,"PT",,
"CB75_Z",2386,33.0629,-16.2962,,,,"PT",,
"CB76_F",2387,33.0803,-16.3607,,,,"PT",,
"CB76_R",2390,33.0988,-16.3181,,,,"PT",,
"CERVAS / Parque Ecológico de Gouveia",27188,40.502761,-7.545753,,,,"PT",,
"Chamusca: miradouro castelo Almourol",2103,39.4588333333,-8.3845,,,,"PT",,
"Cheganças",27343,39.7071666667,-7.8881666667,,,,"PT",,
"Cidade Desportiva Monte Abraão",1533,38.7533333333,-9.2708333333,,,,"PT",,
"Cidadelhe",27273,40.9155,-7.116,,,,"PT",,
"Coimbra - Almalaguês",27499,40.1345,-8.382,,,,"PT",,
"Coimbra - Portela do Casal Novo",27500,40.1368333333,-8.378,,,,"PT",,
"Coimbra-Jardim Botânico da Universidade de Coimbra",27272,40.2145,-8.4402,,,,"PT",,
"Coimbra-Parque Verde do Mondego",27287,5,7,,,,"PT",,
"Colaride, Sintra",27569,39.7071666667,-7.8881666667,,,,"PT",,
"Constantim - QG21Q",27539,41.6205,-6.2725,,,,"PT",,
"Costa de Caparica",276,38.6373333333,-9.2293333333,,,,"PT",,
"Costa do Estoril",141,38.70162222,-9.393713889,,,,"PT",,
"Crato",2140,39.2911666667,-7.6458333333,,,,"PT",,
"Curral do Negro, Gouveia",27169,40.490294,-7.5722477,,,,"PT",,
"Custió, Parque Maia - Linha Metro Ismai",27590,1,1,,,,"PT",,
"Douro Internacional",27533,41.3231666667,-6.4263333333,,,,"PT",,
"DU02_B",2392,30.0341,-16.0268,,,,"PT",,
"DU13_S",2393,30.1436,-15.8618,,,,"PT",,
"Duas Igrejas, Miranda do Douro",27403,41.485072,-6.354686,,,,"PT",,
"Dunas de S Jacinto",110,40.67594444,-8.730883333,,,,"PT",,
"Eixo N-S, Lisboa",1780,38.710563,-9.178946,,,,"PT",,
"Entradas",26351,37.7956666667,-7.9883333333,,,,"PT",,
"Entradas - Carregueiro - Castro Verde",1700,37.7841666667,-8.0546666667,,,,"PT",,
"Ermesinde - Portagens A4",27285,41.2006666667,-8.5545,,,,"PT",,
"Ermesinde - Sta Rita",27286,41.2095,-8.547,,,,"PT",,
"Espindo - Vieira do Minho",27280,41.665,-8.0841666667,,,,"PT",,
"Estação Agronómica Nacional - Oeiras",1547,38.6941666667,-9.3146666667,,,,"PT",,
"Estarreja - Salreu - Área nº 5",1632,40.72791,-8.5825,,,,"PT",,
"Estarreja - Salreu - Percurso de Salreu",27067,40.7345,-8.5706666667,,,,"PT",,
"Estarreja - Salreu - Percurso do Rio Jardim",27062,40.7316666667,-8.568,,,,"PT",,
"Estefânia, Lisboa",189,38.731,-9.1395,,,,"PT",,
"Esteiro do Montijo",193,38.6991666667,-8.9698333333,,,,"PT",,
"Esteiro do Montijo",192,38.6993333333,-8.972,,,,"PT",,
"Estrada Exterior Circunvalação próximo I.P.O.",27592,1,1,,,,"PT",,
"Estuário do Douro - Porto",27508,1,1,,,,"PT",,
"Estuário do Mira",151,37.71740556,-8.788238889,,,,"PT",,
"Estuário do Sado - Salinas de Praias do Sado",395,38.5156666667,-8.8208333333,,,,"PT",,
"Estuário do Sado IBA",29,38.45,-8.7167,,,,"PT",,
"ETAR de Atouguia da Baleia",1740,"39.3475","-9.3371666666667","Portugal (mainland)","Atoguia da Baleia--ETAR","PT-10","PT","39.3480835","-9.3364048"
"ETAR de Ponta Delgada, SMi, Açores",330,37.7418333333,-25.6496666667,,,,"PT",,
